filename,old_label,new_label,start_frame,end_frame,desc
038_static.mp4.txt.h5,0,0,418,429,
038_static.mp4.txt.h5,0,1,430,450,
038_static.mp4.txt.h5,0,0,451,459,
038_static.mp4.txt.h5,0,1,460,470,
038_static.mp4.txt.h5,0,0,471,559,
038_static.mp4.txt.h5,0,4,560,610,
038_static.mp4.txt.h5,0,0,611,866,
038_static.mp4.txt.h5,0,1,915,934,
038_static.mp4.txt.h5,0,1,1566,1619,
038_static.mp4.txt.h5,0,1,1620,1650,
038_static.mp4.txt.h5,0,1,1651,1669,
038_static.mp4.txt.h5,0,0,2218,2294,
038_static.mp4.txt.h5,0,1,2295,2340,
038_static.mp4.txt.h5,0,0,2341,2349,
038_static.mp4.txt.h5,0,1,2350,2390,
038_static.mp4.txt.h5,0,4,2391,2429,
038_static.mp4.txt.h5,0,3,2430,2445,
038_static.mp4.txt.h5,0,0,2246,2457,
038_static.mp4.txt.h5,0,1,2522,2532,
038_static.mp4.txt.h5,0,0,2533,2669,
038_static.mp4.txt.h5,0,0,2670,2680,
038_static.mp4.txt.h5,0,0,2681,2691,
038_static.mp4.txt.h5,0,0,2913,2929,
038_static.mp4.txt.h5,0,1,2930,2944,
038_static.mp4.txt.h5,0,0,2945,3133,
038_static.mp4.txt.h5,0,0,3148,3159,
038_static.mp4.txt.h5,0,1,3160,3180,
038_static.mp4.txt.h5,0,0,3181,3217,
038_static.mp4.txt.h5,0,0,4173,4209,
038_static.mp4.txt.h5,0,1,4210,4223,
038_static.mp4.txt.h5,0,-1,4224,4229,to small to label anything
038_static.mp4.txt.h5,0,4,4230,4250,
038_static.mp4.txt.h5,0,0,4251,4335,
038_static.mp4.txt.h5,0,0,5352,5409,
038_static.mp4.txt.h5,0,1,5410,5440,
038_static.mp4.txt.h5,0,0,5441,5489,
038_static.mp4.txt.h5,0,1,5490,5505,
038_static.mp4.txt.h5,0,0,5506,5521,
038_static.mp4.txt.h5,0,0,5930,6009,
038_static.mp4.txt.h5,0,1,6010,6022,
038_static.mp4.txt.h5,0,0,6023,6039,
038_static.mp4.txt.h5,0,1,6040,6052,
038_static.mp4.txt.h5,0,-1,6052,6058,too small to label anything
038_static.mp4.txt.h5,0,0,6447,6589,
038_static.mp4.txt.h5,0,1,6590,6610,
038_static.mp4.txt.h5,0,0,6611,6634,
038_static.mp4.txt.h5,0,1,6635,6650,
038_static.mp4.txt.h5,0,0,6651,6714,
038_static.mp4.txt.h5,0,0,6961,6989,
038_static.mp4.txt.h5,0,1,6990,7010,
038_static.mp4.txt.h5,0,0,7011,7080,
038_static.mp4.txt.h5,0,0,7414,7489,
038_static.mp4.txt.h5,0,1,7490,7510,
038_static.mp4.txt.h5,0,0,7511,7574,
038_static.mp4.txt.h5,0,1,7575,7588,
038_static.mp4.txt.h5,0,0,7589,7630,
038_static.mp4.txt.h5,0,0,8015,8059,
038_static.mp4.txt.h5,0,1,8060,8090,
038_static.mp4.txt.h5,0,0,8091,8269,
038_static.mp4.txt.h5,0,0,8523,8549,
038_static.mp4.txt.h5,0,1,8550,8570,
038_static.mp4.txt.h5,0,0,8571,8709,
038_static.mp4.txt.h5,0,1,8710,8730,
038_static.mp4.txt.h5,0,-1,8731,8739,too small to label anything
038_static.mp4.txt.h5,0,4,8740,8770,
038_static.mp4.txt.h5,0,0,8771,8939,
038_static.mp4.txt.h5,0,4,8940,9000,
038_static.mp4.txt.h5,0,0,9001,9029,
038_static.mp4.txt.h5,0,1,9030,9050,
038_static.mp4.txt.h5,0,0,9051,9099,
038_static.mp4.txt.h5,0,1,9100,9130,
038_static.mp4.txt.h5,0,-1,9131,9136,too small
038_static.mp4.txt.h5,0,4,9399,9430,
038_static.mp4.txt.h5,0,0,9431,9549,
038_static.mp4.txt.h5,0,3,9550,9560,
038_static.mp4.txt.h5,0,0,9551,9779,
038_static.mp4.txt.h5,0,1,9780,9796,
038_static.mp4.txt.h5,0,1,10358,10382,
